"country_code"	"meteorite_class"	"count"	"average_mass"	"max_mass"	"min_mass"	
"FRA"	"Iron, ungrouped"	"2"	"493000.0"	"626000.0"	"360000.0"	
"FRA"	"Iron, IIIAB"	"1"	"472000.0"	"472000.0"	"472000.0"	
"MRT"	"Diogenite-pm"	"1"	"1000.0"	"1000.0"	"1000.0"	
"MRT"	"L6"	"2"	"1894.5"	"3599.0"	"190.0"	
"MRT"	"H5"	"2"	"120750.0"	"240000.0"	"1500.0"	
"MRT"	"LL3.2"	"1"	"259.3"	"259.3"	"259.3"	
"MRT"	"Mesosiderite-B1"	"1"	"4050.0"	"4050.0"	"4050.0"	
"MRT"	"LL5-6"	"1"	"6032.0"	"6032.0"	"6032.0"	
"MRT"	"LL5"	"1"	"756.0"	"756.0"	"756.0"	
"MRT"	"R5"	"1"	"650.0"	"650.0"	"650.0"	
"MRT"	"Eucrite-pmict"	"1"	"788.4"	"788.4"	"788.4"	
"MRT"	"CH3"	"1"	"18.1"	"18.1"	"18.1"	
"MRT"	"H4"	"1"	"224.0"	"224.0"	"224.0"	
"MRT"	"LL6"	"2"	"229.5"	"383.0"	"76.0"	
"NER"	"L6"	"5"	"5901.04"	"24000.0"	"329.2"	
"NER"	"H4"	"1"	"560.0"	"560.0"	"560.0"	
"NER"	"H5"	"13"	"9378.47"	"42000.0"	"9.4"	
"NER"	"EL5"	"1"	"360.0"	"360.0"	"360.0"	
"NER"	"H5/6"	"1"	"1113.0"	"1113.0"	"1113.0"	
"NER"	"LL3"	"1"	"2200.0"	"2200.0"	"2200.0"	
"NER"	"LL3.7"	"1"	"114.3"	"114.3"	"114.3"	
"NER"	"Iron, IVA-an"	"1"	"4400.0"	"4400.0"	"4400.0"	
"NER"	"H3"	"1"	"710.3"	"710.3"	"710.3"	
"NER"	"EL4/5"	"1"	"608.9"	"608.9"	"608.9"	
"NER"	"H6"	"2"	"467.3"	"490.6"	"444.0"	
"NER"	"CR-an"	"1"	"114000.0"	"114000.0"	"114000.0"	
"NER"	"H4/5"	"1"	"4705.0"	"4705.0"	"4705.0"	
"NER"	"CO3"	"1"	"1149.0"	"1149.0"	"1149.0"	
"NER"	"L5"	"1"	"516.0"	"516.0"	"516.0"	
"NER"	"Pallasite, ungrouped"	"1"	"46.0"	"46.0"	"46.0"	
"JOR"	"L6"	"1"	"779.0"	"779.0"	"779.0"	
"IND"	"H4"	"3"	"6303.47"	"16820.0"	"290.4"	
"IND"	"H5"	"14"	"8490.07"	"71400.0"	"22.0"	
"IND"	"Stone-uncl"	"4"	"1734.0"	"4064.0"	"72.0"	
"IND"	"H6"	"20"	"7278.08"	"29000.0"	"0.5"	
"IND"	"L4"	"1"	"1280.0"	"1280.0"	"1280.0"	
"IND"	"Iron, IAB-sLL"	"1"	"10322.0"	"10322.0"	"10322.0"	
"IND"	"L6"	"25"	"4944.33"	"45000.0"	"5.0"	
"IND"	"L5"	"10"	"3849.08"	"9241.0"	"0.8"	
"IND"	"LL4"	"1"	"3700.0"	"3700.0"	"3700.0"	
"IND"	"LL6"	"6"	"25297.67"	"110000.0"	"478.0"	
"IND"	"Howardite"	"2"	"21250.0"	"40000.0"	"2500.0"	
"IND"	"LL3.15"	"1"	"1039.0"	"1039.0"	"1039.0"	
"IND"	"Aubrite"	"1"	"1500.0"	"1500.0"	"1500.0"	
"IND"	"LL3.4"	"1"	"8200.0"	"8200.0"	"8200.0"	
"IND"	"H3.8"	"2"	"28500.0"	"45000.0"	"12000.0"	
"IND"	"OC"	"2"	"936.45"	"1800.0"	"72.9"	
"IND"	"Ureilite"	"3"	"1300.0"	"2700.0"	"300.0"	
"IND"	"CM2"	"3"	"177.67"	"315.0"	"105.0"	
"IND"	"Eucrite-mmict"	"3"	"14404.17"	"42000.0"	"212.5"	
"IND"	"Iron"	"1"	"1967.0"	"1967.0"	"1967.0"	
"IND"	"K3"	"1"	"350.0"	"350.0"	"350.0"	
"IND"	"L5/6"	"1"	"1600.0"	"1600.0"	"1600.0"	
"IND"	"Iron, IIE-an"	"1"	"6800.0"	"6800.0"	"6800.0"	
"IND"	"H4-5"	"1"	"6669.2"	"6669.2"	"6669.2"	
"IND"	"LL5"	"2"	"1899.0"	"3698.0"	"100.0"	
"IND"	"L3.6"	"1"	"9700.0"	"9700.0"	"9700.0"	
"IND"	"L"	"2"	"3000.0"	"5000.0"	"1000.0"	
"IND"	"H4/5"	"1"	"70500.0"	"70500.0"	"70500.0"	
"IND"	"Diogenite"	"2"	"2025.0"	"4000.0"	"50.0"	
"IND"	"Iron, IAB-sHL"	"1"	"1245.0"	"1245.0"	"1245.0"	
"IND"	"Eucrite-cm"	"2"	"661.9"	"1303.8"	"20.0"	
"IND"	"Iron, ungrouped"	"1"	"4500.0"	"4500.0"	"4500.0"	
"IND"	"LL3.6"	"1"	"77600.0"	"77600.0"	"77600.0"	
"IND"	"EH3"	"1"	"800.0"	"800.0"	"800.0"	
"IND"	"Iron, IIAB"	"1"	"10200.0"	"10200.0"	"10200.0"	
"IND"	"LL"	"1"	"100.0"	"100.0"	"100.0"	
"IND"	"Iron, IIIAB"	"1"	"2462.0"	"2462.0"	"2462.0"	
"IND"	"LL3.00"	"1"	"691.0"	"691.0"	"691.0"	
"IND"	"Martian (shergottite)"	"1"	"5000.0"	"5000.0"	"5000.0"	
"IND"	"L/LL6"	"1"	"1710.5"	"1710.5"	"1710.5"	
"IND"	"CI1"	"1"	"7.7"	"7.7"	"7.7"	
"IND"	"LL4-6"	"1"	"2437.0"	"2437.0"	"2437.0"	
"IND"	"Iron, IIE"	"1"	"15900.0"	"15900.0"	"15900.0"	
"IND"	"Pallasite?"	"1"	"14180.0"	"14180.0"	"14180.0"	
"NGA"	"H"	"1"	"3000.0"	"3000.0"	"3000.0"	
"NGA"	"Howardite"	"1"	"357.0"	"357.0"	"357.0"	
"NGA"	"L6"	"4"	"1580.5"	"4162.0"	"180.0"	
"NGA"	"H5"	"1"	"725.0"	"725.0"	"725.0"	
"NGA"	"CBa"	"1"	"100000.0"	"100000.0"	"100000.0"	
"NGA"	"H4"	"2"	"12200.0"	"13400.0"	"11000.0"	
"NGA"	"LL6"	"1"	"19000.0"	"19000.0"	"19000.0"	
"NGA"	"H5/6"	"1"	"4629.0"	"4629.0"	"4629.0"	
"NGA"	"Aubrite"	"1"	"4850.0"	"4850.0"	"4850.0"	
"NGA"	"L5"	"1"	"7700.0"	"7700.0"	"7700.0"	
"NGA"	"Iron, IAB-ung"	"1"	"103000.0"	"103000.0"	"103000.0"	
"NGA"	"Martian (shergottite)"	"1"	"18000.0"	"18000.0"	"18000.0"	
"NGA"	"Iron, IID"	"1"	"1500.0"	"1500.0"	"1500.0"	
"NGA"	"Iron, IIAB"	"1"	"54000.0"	"54000.0"	"54000.0"	
"TUR"	"Iron, IVA"	"1"	"50000.0"	"50000.0"	"50000.0"	
"TUR"	"L6"	"3"	"9746.67"	"25000.0"	"240.0"	
"TUR"	"LL6"	"1"	"8.0"	"8.0"	"8.0"	
"TUR"	"H3-5"	"1"	"3396.0"	"3396.0"	"3396.0"	
"TUR"	"L5"	"1"	"438.0"	"438.0"	"438.0"	
"TUR"	"Iron, IIIAB"	"1"	"85000.0"	"85000.0"	"85000.0"	
"TUR"	"L4"	"1"	"5760.0"	"5760.0"	"5760.0"	
"TUR"	"Iron, IAB-sHL"	"1"	"5000.0"	"5000.0"	"5000.0"	
"TUR"	"H6"	"1"	"40000.0"	"40000.0"	"40000.0"	
"TUR"	"Eucrite-mmict"	"1"	"1.0"	"1.0"	"1.0"	
"SAU"	"CR2-an"	"1"	"160.0"	"160.0"	"160.0"	
"SAU"	"L3.7-6"	"1"	"6100.0"	"6100.0"	"6100.0"	
"SAU"	"H6"	"1"	"6.1"	"6.1"	"6.1"	
"SAU"	"L6"	"1"	"2500.0"	"2500.0"	"2500.0"	
"SAU"	"H3.8"	"1"	"194.34"	"194.34"	"194.34"	
"SAU"	"Iron, IIAB"	"1"	"1200000.0"	"1200000.0"	"1200000.0"	
"SAU"	"L4"	"1"	"935.0"	"935.0"	"935.0"	
"SAU"	"L3.7"	"1"	"13901.0"	"13901.0"	"13901.0"	
"SAU"	"Iron, IAB complex"	"1"	"275000.0"	"275000.0"	"275000.0"	
"SAU"	"LL5"	"1"	"65.19"	"65.19"	"65.19"	
"SAU"	"H5"	"1"	"46.32"	"46.32"	"46.32"	
"SAU"	"Acapulcoite"	"1"	"21.05"	"21.048"	"21.048"	
"SDN"	"LL5"	"1"	"700.0"	"700.0"	"700.0"	
"SDN"	"Aubrite"	"1"	"3200.0"	"3200.0"	"3200.0"	
"SDN"	"H6"	"2"	"50033.7"	"100000.0"	"67.4"	
"SDN"	"L4"	"1"	"12000.0"	"12000.0"	"12000.0"	
"SDN"	"L5"	"1"	"1700.0"	"1700.0"	"1700.0"	
"ITA"	"L/LL4"	"1"	"2000.0"	"2000.0"	"2000.0"	
"ITA"	"H5"	"5"	"2913.6"	"6460.0"	"200.0"	
"ITA"	"L6"	"4"	"61810.25"	"228000.0"	"237.0"	
"ITA"	"LL6"	"1"	"1676.0"	"1676.0"	"1676.0"	
"ITA"	"Stone-uncl"	"2"	"7551.65"	"15000.0"	"103.3"	
"ITA"	"H3-5"	"1"	"10200.0"	"10200.0"	"10200.0"	
"ITA"	"L5"	"3"	"1885.0"	"3130.0"	"120.0"	
"ITA"	"Pallasite"	"1"	"42.0"	"42.0"	"42.0"	
"ITA"	"H4"	"3"	"3126.1"	"9150.0"	"51.3"	
"ITA"	"H6"	"4"	"1604.25"	"3400.0"	"40.0"	
"ITA"	"Iron"	"1"	"12.0"	"12.0"	"12.0"	
"ITA"	"LL3.4"	"1"	"13.1"	"13.1"	"13.1"	
"ITA"	"CR2"	"1"	"1000.0"	"1000.0"	"1000.0"	
"ITA"	"LL5"	"1"	"3700.0"	"3700.0"	"3700.0"	
"ITA"	"H3/4"	"1"	"11800.0"	"11800.0"	"11800.0"	
"ITA"	"CV3"	"1"	"15000.0"	"15000.0"	"15000.0"	
"ITA"	"Iron, IIIAB"	"1"	"48000.0"	"48000.0"	"48000.0"	
"ITA"	"Iron, ungrouped"	"1"	"860.0"	"860.0"	"860.0"	
"ITA"	"Pallasite, PMG"	"1"	"87.0"	"87.0"	"87.0"	
"COD"	"L"	"1"	"625.0"	"625.0"	"625.0"	
"COD"	"H4"	"1"	"950.0"	"950.0"	"950.0"	
